Episodes,Average Episode Reward
0,-718.4032748683886
1,-774.6880744190589
2,-501.1925233427651
3,-774.8802227410965
4,-921.5743628999197
5,-810.5022885997313
6,-887.9120495602605
7,-864.59784664318
8,-855.7061800509568
9,-877.1953985482704
10,-847.047086916883
11,-835.4889825998983
12,-976.7605641461807
13,-764.466414120449
14,-834.0395115955716
15,-908.4887139207414
16,-696.3337232761484
17,-1132.9455702251503
18,-664.4560003399189
19,-831.0507081565996
20,-866.8961760873793
21,-755.3753551796804
22,-925.5453642710546
23,-781.3212616071712
24,-877.3627157170891
25,-998.8427287701965
26,-860.4945085085859
27,-673.327098766084
28,-896.2427360292878
29,-887.7864077725876
30,-817.6461573738238
31,-956.372972336184
32,-877.0037043447679
33,-920.5603955997393
34,-577.118271648696
35,-784.927031627954
36,-727.6783667999446
37,-765.6072194311989
38,-873.8777804267472
39,-912.7404097207524
40,-678.682080784294
41,-809.4781791680724
42,-930.5090361510279
43,-892.1964983213486
44,-750.1980593570242
45,-883.522035303382
46,-771.8145157985765
47,-905.7826211280504
48,-811.4868476587719
49,-928.7086102690462
50,-1030.4740391043727
51,-723.1354203741995
52,-727.2174191130538
53,-638.5026095886893
54,-1001.3332852875373
55,-910.9975879859031
56,-700.6989526584632
57,-538.9373531702419
58,-884.292745829675
59,-844.3634629861529
60,-767.4114419242101
61,-1012.4359106457067
62,-864.064893839738
63,-565.305233202782
64,-690.2681691153161
65,-816.8301172063474
66,-1048.937306558021
67,-1060.2767695478733
68,-902.3709424250842
69,-789.9554596168051
70,-807.0407883442011
71,-805.4217389966358
72,-753.7106407875034
73,-1009.5813065842959
74,-794.3031721801214
75,-1012.5904918170995
76,-808.0172001082225
77,-1083.3358420871753
78,-780.7900424853428
79,-1075.5901960974063
80,-744.7177090336376
81,-904.4388082151925
82,-792.4792429164509
83,-590.4129350332812
84,-861.2548356625489
85,-626.2006826308267
86,-970.0907798031926
87,-753.5532121798075
88,-702.4539678416932
89,-1025.544747342424
90,-813.1875625870288
91,-779.0076931729448
92,-839.0578075884291
93,-784.8572917794543
94,-609.2807419644998
95,-335.31153932536597
96,-617.4861315827978
97,-1122.1373210175527
98,-851.3038004245352
99,-725.9293509917244
100,-799.0828663010749
101,-718.8941659188497
102,-1007.5860794794683
103,-286.65919993767704
104,-358.9743816825983
105,-1024.2835448183853
106,-631.0484495576267
107,-1032.2842617915578
108,-1017.7291665118001
109,-756.7625951559595
110,-926.6123217362697
111,-869.2723908892117
112,-629.1639705325557
113,-666.1740103103729
114,-794.4010913076023
115,-889.7854690894006
116,-923.6748685328276
117,-808.1547349725438
118,-841.7258142609111
119,-1269.3372230578273
120,-725.9516934927092
121,-641.1760515885161
122,-697.8147701608485
123,-840.6476743800217
124,-1051.3258448697334
125,-844.5654813464339
126,-1013.5996286535507
127,-645.2454950013613
128,-966.1300701586009
129,-885.4181201146575
130,-1015.8555546873616
131,-906.4553700381482
132,-863.3962432912064
133,-936.9888383598923
134,-936.2164171965646
135,-815.1108750655395
136,-956.3120187299944
137,-729.9091799830769
138,-732.6750981539656
139,-929.9998024269148
140,-905.6966643003955
141,-788.4065513607682
142,-792.353114267168
143,-1040.3705550898953
144,-981.5420200734634
145,-591.8202850157434
146,-832.3378340970646
147,-682.8343296942996
148,-614.997693056559
149,-822.0597257945439
150,-655.9649717325497
151,-859.2831362021037
152,-1036.8420916899072
153,-1009.8505083751278
154,-1094.298221950952
155,-602.7144347943549
156,-382.0994468513372
157,-738.3033660497217
158,-921.2943533740694
159,-719.9534414426766
160,-696.3956189187954
161,-989.6724071822982
162,-854.9865761317402
163,-945.3315930713417
164,-964.0836148542465
165,-743.4509202075542
166,-966.1791658622724
167,-777.199231415894
168,-857.1253458553705
169,-629.4433318484453
170,-837.8774919377065
171,-475.9561421226311
172,-945.4766077948915
173,-767.8884269989603
174,-876.6404460387432
175,-1089.8430649811335
176,-659.754163084076
177,-678.2990835615796
178,-834.2537993812055
179,-977.0736015489034
180,-759.3309156554543
181,-1065.7238946902044
182,-753.9426433345726
183,-737.2184352197364
184,-815.6759545905065
185,-672.1912089315879
186,-759.5821242188649
187,-914.0885941680259
188,-758.6236024970509
189,-780.494396278653
190,-765.4923728553325
191,-751.1219445964448
192,-798.1827146337799
193,-708.1520012576403
194,-820.415143395816
195,-791.665829595658
196,-887.5683478550694
197,-788.6710986189777
198,-833.1934116604757
199,-894.402839739534
200,-1014.9595432256234
201,-1120.03070686453
202,-857.3942768904108
203,-1018.9606181712442
204,-999.0559980844648
205,-907.0770800881811
206,-997.2256254353264
207,-743.458685354195
208,-1142.096283592383
209,-1038.518967535506
210,-764.3405049893541
211,-858.8330944565331
212,-759.9850901123598
213,-807.5844146769614
214,-940.2080104394626
215,-498.1889750577234
216,-841.2124664042873
217,-940.0861794334471
218,-547.3841776941828
219,-1213.1597638423784
220,-509.3476014989047
221,-1124.5531402362265
222,-776.2711747285556
223,-783.344924778135
224,-893.0564299398218
225,-652.4977997703796
226,-768.3918975890691
227,-712.2250382823669
228,-719.4752157777241
229,-711.1217701058356
230,-676.8735667105076
231,-774.016674657067
232,-910.3118874654637
233,-937.3276912987952
234,-680.7589386140878
235,-930.2868477259716
236,-701.9738565418156
237,-881.5447964707624
238,-783.9087612159427
239,-994.5757460115443
240,-943.4594393334087
241,-651.9012043894079
242,-842.0633886416971
243,-896.3042693159703
244,-699.0331050678375
245,-858.1273395965821
246,-807.8687100056259
247,-625.3946686278598
248,-728.101948310439
249,-748.9367005018755
250,-814.3068209434878
251,-653.6663418910996
252,-701.2323802564441
253,-816.3457526727817
254,-851.5600870737311
255,-878.0893252114201
256,-667.0955796321086
257,-1128.3888205663675
258,-806.8936873365304
259,-798.5344959512139
260,-503.3635522007581
261,-461.4346330836298
262,-532.3749731483317
263,-842.1305892854635
264,-673.5202651060453
265,-651.4593856497374
266,-496.3916239753393
267,-843.3965567128816
268,-814.313706358389
269,-873.516622550535
270,-1014.6758724578553
271,-800.605043567577
272,-826.2775783727775
273,-612.3848488925389
274,-901.65993007541
275,-917.4534701853462
276,-572.9647790461797
277,-1099.1466249816137
278,-874.4131382827343
279,-724.9380623425227
280,-698.8453397840846
281,-973.6115632737854
282,-826.4654826906768
283,-762.6600775684624
284,-546.2242211920588
285,-696.1163028125612
286,-702.8276678387965
287,-846.9520499044603
288,-692.3452350644036
289,-821.9281230013587
290,-859.5785260986124
291,-1068.244392195354
292,-728.6386088005947
293,-793.8800691265203
294,-729.0200363280134
295,-851.8535196604028
296,-962.3155447289308
297,-843.2315194218231
298,-1009.5081582342003
299,-897.9153313582776
300,-612.8565855005253
301,-861.3622084759301
