Episodes,Average Episode Reward
0,-119.97718924754264
1,-63.47214451196662
2,-59.99999999999979
3,-50.877586735886105
4,-54.30517795196196
5,-18.98685828833224
6,-59.99999999999979
7,-91.64064019116742
8,-65.31468480546705
9,-86.98775246287475
10,-66.07591324990526
11,-59.99999999999979
12,-91.4869207858972
13,-42.95640624668956
14,-71.36926372498242
15,-23.548922897990032
16,-77.80970062693345
17,-60.51837541641578
18,-59.99999999999979
19,-10.356800876330794
20,-166.4282790838893
21,-59.99999999999979
22,-60.04903464969398
23,-61.48898871212788
24,-60.28031249411757
25,-145.51945574641306
26,-69.45516776696486
27,-15.260562465132155
28,-74.52976123648968
29,-71.80538620748878
30,-79.55807942797951
31,-98.19540495380527
32,-59.13928826976213
33,-98.84742137258642
34,-45.83073921238537
35,-59.99999999999979
36,-59.99999999999979
37,-62.7648995150575
38,-59.99999999999979
39,-13.583884817207018
40,-348.9293968378231
41,-63.03434560842461
42,-9.700190913770754
43,-20.477777541688635
44,-21.343100328186697
45,-43.94702631362421
46,-65.36521754642156
47,-63.13446696888841
48,-55.6511570167891
49,-89.88875056648533
50,-59.99999999999979
51,-34.002309972611776
52,-56.334148672168766
53,-61.36479499963551
54,-59.99999999999979
55,-76.06847596950634
56,-51.710978722390095
57,-95.8192021062195
58,-59.99999999999979
59,-40.73089124315516
60,4.649429590734248
61,-55.68395331135378
62,-136.93135468812903
63,-94.1640701372779
64,-59.99999999999979
65,-65.54927517606882
66,-60.66569493941452
67,-61.72312990247027
68,-32.234979831947925
69,-47.65149308308647
70,-54.183838485006504
71,0.564348257717582
72,-79.80039646119344
73,-63.080283010106584
74,-59.99999999999979
75,-64.4452939178106
76,-52.11596719677286
77,-43.728060004353125
78,-14.552614012306417
79,-77.2739238631145
80,-51.698330669495604
81,-59.99999999999979
82,-18.785790088624417
83,-88.18284387558413
84,-59.99999999999979
85,-72.56498472370184
86,-90.24151644634875
87,-80.19168986246535
88,-5.73062903844598
89,-25.41938161568576
90,-133.45563611620972
91,-60.03770465343203
92,17.2462611043877
93,-62.26931628707439
94,-53.48407790612803
95,-65.28423542432247
96,-127.47907512077732
97,-56.76662670045655
98,-59.99999999999979
99,-15.63430085726776
100,-267.32718309871285
101,-107.28015661321484
102,-35.098993068993636
103,-8.283043361913634
104,-73.30403766542474
105,-63.82623380666354
106,-62.551598928100724
107,-73.06814901884874
108,-158.77168689798017
109,7.602534789705997
110,-57.818189221216365
111,-101.88747763386652
112,-132.57436134117378
113,-81.00509420647826
114,-62.22925765321733
115,-69.94030989484665
116,-33.63630398937008
117,-59.99999999999979
118,-89.30484027969257
119,-94.07249194279953
120,-220.28974797236125
121,-29.289402781593445
122,-129.9651747972225
123,-70.78378960137985
124,-17.26546948518257
125,-52.74262927413993
126,-59.99999999999979
127,-64.46577758904502
128,-69.75339144694166
129,-23.857698627390846
130,-79.86768005074181
131,-99.7183118874985
132,-40.91594632071395
133,-43.10230890738287
134,-148.3898802386606
135,-49.18985933621417
136,-59.99999999999979
137,-62.24788596860971
138,-97.54177976585088
139,-84.96446950063876
140,-3.6528301251619766
141,-40.0587181298817
142,-26.010223991656904
143,-79.854992514572
144,-98.91548686508581
145,-45.9051829789964
146,-88.67451478086788
147,-49.560513168109594
148,-37.37552861277044
149,-69.45305500824969
150,-59.99999999999979
151,-111.3245560015019
152,-59.99999999999979
153,-59.99999999999979
154,-123.20691128690392
155,-44.957957799375045
156,-62.578519304339615
157,-20.698592131885544
158,-59.99999999999979
159,-34.103415191578584
160,-41.55156078067418
161,-59.99999999999979
162,-73.5473586938083
163,-96.60976056607352
164,-92.8419648726349
165,-59.99999999999979
166,-35.56765558513307
167,-21.039422529636433
168,-60.28238395747745
169,-64.6891029694692
170,-88.88051241132061
171,-93.5315764126636
172,-59.99999999999979
173,-59.99999999999979
174,-112.2820447571204
175,-0.5962955875295148
176,-25.164152841244885
177,-95.2584998611223
178,-44.331889154482056
179,-43.66491776425669
180,-257.62234100451207
181,-132.7704088979663
182,-165.1278960890389
183,-59.99999999999979
184,-60.8778076993971
185,-48.44878404888166
186,-64.1618696360449
187,-59.99999999999979
188,-75.86305283949933
189,-55.57157183257073
190,-59.99999999999979
191,-59.99999999999979
192,-40.500892894446196
193,-59.99999999999979
194,-96.54310218621838
195,-59.99999999999979
196,-87.8579259040726
197,21.02880266036574
198,-59.99999999999979
199,-66.61439203587157
200,-64.10531077791593
201,-71.26396834100642
202,-52.10319123902226
203,-69.54097484296194
204,-61.155159650635674
205,-42.58322913121336
206,-59.99999999999979
207,-90.08308415691906
208,-66.18837593420146
209,-84.09700806478926
210,-61.615353753339555
211,-93.2412754715717
212,-38.87057493882532
213,-32.3669818644927
214,-59.99999999999979
215,-117.69796315057056
216,-61.8627187634388
217,-23.275946221708995
218,-61.45556115963273
219,-59.99999999999979
220,-185.02189001702246
221,-59.99999999999979
222,-70.73019825864155
223,-72.71639573235103
224,-59.99999999999979
225,-59.99999999999979
226,-89.76378188320899
227,-59.99999999999979
228,-64.90882709048691
229,-80.48376241268488
230,-72.68600633255565
231,-18.613903284527883
232,43.788202000995554
233,-59.99999999999979
234,19.550904611521958
235,-16.650615354940417
236,-106.71907417209492
237,-110.14501346519666
238,-73.09550338034136
239,-117.14909602653495
240,-274.32967866328505
241,-59.99999999999979
242,-54.323088733167396
243,-108.4666072769008
244,-128.60604754159513
245,-60.000382861921615
246,-59.99999999999979
247,-37.19241317127594
248,-38.35692973630099
