Episodes,Average Episode Reward
0,-352.9271450544625
1,-370.4349311912408
2,-164.93819388742813
3,-255.13579018754362
4,-329.1662554361839
5,-307.1293106596571
6,-277.0227144935367
7,-209.46015241995966
8,-229.70876030859674
9,-237.9216904884482
10,-270.78977566625883
11,-276.90610077479977
12,-227.40109379152014
13,-274.20060702025165
14,-266.81364062023215
15,-276.88145538488016
16,-209.301687306827
17,-278.083731241727
18,-325.8679950316728
19,-291.5631980287764
20,-310.31571113554685
21,-338.6056465203529
22,-223.86881922619085
23,-281.772503657034
24,-275.807070619891
25,-227.3956507871014
26,-321.6413966360859
27,-240.1021060826963
28,-298.57464876241045
29,-273.783755356692
30,-253.41062545787878
31,-280.6000984915893
32,-226.7315451467664
33,-292.5300202973076
34,-255.9685086225214
35,-328.5085940600105
36,-317.15297684002076
37,-304.39868903865084
38,-309.3251655893924
39,-234.47295409203943
40,-236.40340583077668
41,-313.56869439559614
42,-292.11503831623304
43,-330.70449167149485
44,-304.06845947162793
45,-322.855699482647
46,-297.1341657573013
47,-252.11543644004084
48,-319.91996819725074
49,-222.6609587653406
50,-180.28412434005656
51,-308.68145641195383
52,-277.174357701477
53,-314.3285714649091
54,-223.07250976184503
55,-269.5663954263327
56,-371.7212505881083
57,-272.0014453456032
58,-297.519974869353
59,-266.6135243446331
60,-297.91685355339825
61,-249.56481961518185
62,-340.95915660418035
63,-245.06054051349082
64,-218.8867066563938
65,-239.12894018968356
66,-279.6240721550205
67,-268.29176895036534
68,-261.2153552849926
69,-233.7290783495554
70,-300.67959762053727
71,-278.3208471227185
72,-229.58715676325545
73,-217.5739370617179
74,-266.47947746328884
75,-256.085475387101
76,-319.1404216473043
77,-300.12641790222364
78,-222.7897627873709
79,-259.4380167527388
80,-202.71889506854117
81,-291.51900402404664
82,-302.6230299489892
83,-271.26524404225216
84,-276.92867841333486
85,-260.8160948304718
86,-205.6295030541714
87,-233.7911891889301
88,-264.0575615230186
89,-283.4951848189916
90,-267.0304935094698
91,-344.83893090296857
92,-188.03086349772883
93,-289.8971877107282
94,-317.92742063978017
95,-376.94603756930724
96,-358.541930285732
97,-342.497633847951
98,-258.78162290654075
99,-229.20122968189716
100,-752.0458574902959
101,-267.6940567263015
102,-303.62897463357916
103,-204.5407610128715
104,-294.75725696145946
105,-287.53831572439617
106,-336.05145406608057
107,-191.3089253623134
108,-236.5144744822393
109,-305.5539055414865
110,-226.37060321642568
111,-186.06353672538816
112,-231.52815821762397
113,-245.7627285549121
114,-274.58180123030064
115,-339.91514040481997
116,-252.88053709997763
117,-341.97722742402556
118,-246.12779333301145
119,-310.61409038126664
120,-367.95083601293135
121,-310.56050183211966
122,-318.98669887885256
123,-303.20709643837796
124,-290.47128820602325
