Episodes,Average Episode Reward
0,-156.4375570824332
1,-150.39118113125275
2,-186.62790343985992
3,-221.59779066090186
4,-173.64579492145793
5,-153.28802307350207
6,-275.0082315063583
7,-193.64269772438487
8,-178.54897333516706
9,-73.99313401176536
10,-13.948017647806454
11,-255.52155538037334
12,-136.5600349638842
13,-139.99172131981442
14,-122.89022997023605
15,-141.34249418725676
16,-285.5503616046885
17,-168.38777025270923
18,-182.31202888265886
19,-175.3622992026685
20,-162.43034096564523
21,-180.23857400143012
22,-102.52438528258457
23,-266.6630313102302
24,-229.91824361833773
25,-245.45001642335856
26,-116.73181908514643
27,-236.34014043711892
28,-89.57632903464118
29,-228.17965978497435
30,-10.695214379451421
31,-115.4719266105727
32,-285.15812207962074
33,-248.1558255051891
34,-172.79800250007924
35,-151.46565574595022
36,-195.9928518753385
37,-62.10603052101493
38,-174.3322925772737
39,-134.9515895175226
40,-257.85367754986567
41,-158.73537030886578
42,-155.51406416670784
43,-55.19344956238031
44,15.871075751951588
45,-134.2681564396131
46,-184.6949880781005
47,-144.41176949477344
48,-292.5702927705718
49,-122.74888417213477
50,-340.02673415230976
51,-47.33348664421257
52,-5.385830205177395
53,-43.35474510091601
54,-5.5419268160235635
55,-165.73735238762862
56,-81.41816138856578
57,-94.5996197243945
58,-33.59257480962202
59,-61.209136973772964
60,-53.02742017457242
61,-64.06044427121698
62,-62.97501715384274
63,-91.59897386642393
64,-3.8106603634294074
65,-63.18103049363247
66,-68.55647590344944
67,-36.06838213103246
68,-45.69458599370661
69,-42.608717116601895
70,-68.20644269383854
71,-67.24013494046505
72,-67.09387943545782
73,-69.72201462102271
74,-48.65700364253244
75,-122.33020030087887
76,65.24740102720888
77,-46.899499369567174
78,-60.86201563733581
79,-55.08846660320233
80,-133.8830201244835
81,-68.84239036265565
82,87.24383608514789
83,-28.714054146536913
84,21.778967705709082
85,-84.41312801090652
86,-15.800858140019091
87,-31.387303118696465
88,-56.164077452753425
89,81.55483576550972
90,19.388778073189652
91,-17.23942965120554
92,-8.450179621569834
93,-2.035428294687052
94,-10.80261337443701
95,2.0686632360050683
96,-88.27439875209055
