Episodes,Average Episode Reward
0,-91.9474926610224
1,-79.87591047454691
2,70.09473676766771
3,-143.87597420425294
4,-60.75353681154321
5,-14.58744290372263
6,-22.643865412087585
7,-28.03086663199913
8,3.535137819741409
9,-100.43937869073459
10,1.2082982180561725
11,-41.10270520663561
12,-58.92670112057191
13,-54.570795649163294
14,-74.08653896797462
15,-76.99255423404543
16,-93.71627598139465
17,-60.558720446812245
18,-115.46435120603431
19,-17.44947212745181
20,-28.302638604056476
21,-39.60901649932644
22,-111.11950811433759
23,-65.36349238182773
24,-96.50803544716118
25,-125.90985253207458
26,-32.497425264540304
27,-64.76109158521548
28,-86.25306499653584
29,-21.71886886158951
30,-122.55751967847009
31,-124.39720236730011
32,-37.11345972072896
33,159.35803111283883
34,-78.09876664181678
35,-13.382831742953627
36,26.173977417475864
37,-133.6191710145725
38,-74.50417846260879
39,53.982847517418016
40,-138.08174798511374
41,-33.33519838553378
42,8.7970217475369
43,-90.50414252520606
44,-50.37412408767278
45,-23.902624645356266
46,13.791427312148471
47,-67.12541918463977
48,-79.66554735985858
49,-18.281759809932534
50,-112.58140713886628
51,-16.26438652335993
52,-78.40447704701954
53,10.536729638057576
54,-98.39666735808483
55,-69.35297372865159
56,-1.962503789152224
57,-10.866557688563608
58,-8.124704550474055
59,-72.85423807451821
60,-51.4993314643671
61,-106.85783310955716
62,-56.55527752668046
63,-46.29600424109574
64,46.40576861951006
65,-38.47358607969654
66,9.688736113242252
67,-23.11137457777052
68,-85.24732064412028
69,-15.33656139948832
70,-129.01873260386245
71,-48.67073512977773
72,-25.317494130571557
73,122.97308577646093
74,-70.82278389439304
75,-91.67378842538389
76,-65.46607240668031
77,-8.519160005795332
78,-127.85192854295003
79,-44.156644994846616
80,14.691669733078346
81,-20.777393579932742
82,-43.7078249034677
83,-31.250628123608518
84,-26.529019096699834
85,-87.7954701671529
86,-70.04780094150537
87,-40.894477348106946
88,-110.2590600764236
89,-25.683093101168826
90,-55.68250788440006
91,-66.14488094603321
92,-55.513721879169296
93,-121.66722927970177
94,-81.29133238593681
95,-59.54892764844328
96,-83.44526694788563
97,-117.73596769140798
98,-93.8097025633482
99,-78.50181745451978
100,-96.11479163035305
101,-133.75439849052142
102,-114.37549843802225
103,-56.52958808431004
104,-105.89831272921731
105,-73.30762665394367
106,-148.80585444476023
107,-109.08605717365731
108,-75.09233625971935
109,-138.01320993598623
110,-111.41019600332923
111,-96.22682704983053
112,-79.81157281105433
113,-84.02919001133094
114,-18.985093366440534
115,-14.39903575342847
116,-62.92179792826813
117,-71.06672820366384
118,-105.66579015731949
119,-45.388234927100996
120,-133.4465017508839
121,-62.20420384501169
122,-148.9202613357118
123,-186.30483892280245
124,-86.22547235017525
125,20.019446237076146
126,-144.06639446087925
127,-5.779898489545088
128,9.526168286142878
129,-112.55256652065613
130,-109.73903804508822
131,-141.5278373850168
132,-51.2661417090198
133,-115.36468856248989
134,-101.63069714877491
135,-86.05928229448209
136,-32.88726831202246
137,-111.44458194088433
138,-22.06849050830111
139,-31.863105181973086
140,-52.37252265588495
141,-125.27645399186908
142,14.668552241943788
143,-89.54514416326951
144,-158.0237464326115
145,-59.909106232179454
146,5.082018864638994
147,-78.32616112040876
148,-2.546916481916272
149,51.73607632662414
150,-23.511405257638533
151,-108.16971527404175
152,-162.74911559977852
153,-116.75885712213875
154,-84.6104854590545
155,-86.884591399011
156,-9.197126986223978
157,-55.21680705485757
158,-283.4278734502598
159,-78.45948821093624
160,-59.20234431005708
161,-52.519626461691814
162,43.84186782139706
163,-81.76804145434903
164,-28.93925980949822
165,-19.108159332237424
166,-62.12546858588454
167,56.238723399431834
168,8.143181372774535
169,-23.548447283553323
170,-61.25327539124159
171,-42.323597445204356
172,-214.59956618110692
173,-65.96143449080692
174,-112.80224367857761
175,-1.8877718973458337
176,67.1451665989962
177,-84.51671544213097
178,-66.69187326948422
179,-142.36252660191994
180,-6.343616577947634
181,-125.97337419996826
182,34.611443848846534
183,-29.52540650777472
184,-107.72634312579912
185,-146.0151669402981
186,-88.42361109452317
187,-8.574810928616301
188,-88.06619285428174
189,61.08813125959537
190,-127.53729314733934
191,-126.11119109553886
192,-30.68290415516526
193,-99.13706290093758
194,93.25805219002673
195,-8.622325470259282
196,-81.6711261853927
197,-142.40071940676597
198,-118.95449270029097
199,-83.40712253953774
200,-70.13428360079551
201,-20.041829458357135
202,13.998850428881871
203,-118.26357672099103
204,-86.7466991165957
205,-30.064158352313843
206,62.02119626049552
207,-83.658601276719
208,43.083171352363095
209,-21.371691679298106
210,0.3271426120027043
211,-6.698034760292273
212,60.7860888895496
213,86.57741340824708
214,-17.124337973309306
215,46.77373258027964
216,-67.03268235494649
217,45.860628398686394
218,49.65947175029664
219,-12.900052411539502
220,42.30548269841937
221,-26.055572723923557
222,-106.66796398123032
223,-6.06531298565365
224,16.17573380035242
225,-38.181427105590686
226,-61.622516965179074
227,20.271740015837402
228,11.49764961341277
229,0.4689011456908033
230,-33.26929492996252
231,-75.40308888301996
232,-9.65118268431689
233,-4.245288936420304
234,15.552630081647566
235,76.3717557880435
236,-45.83314652313798
237,-91.12286740616634
238,-25.69547586646196
239,-120.07542469846453
240,-32.04971515313724
241,79.36773019157143
242,14.519644357776874
243,50.49575776109538
244,29.96759733022178
245,58.223066715488294
246,-86.70904671122148
247,-47.526357594667196
248,-86.33063305883249
249,-109.07142266115167
