Episodes,Average Episode Reward
0,-425.16340588568454
1,-432.5315627679561
2,-271.32154115498867
3,-399.4696859328758
4,-221.99699081664463
5,-441.58460339225735
6,-366.7153807205075
7,-510.6431453414097
8,-465.391970609392
9,-498.3924199301111
10,-460.09251295220037
11,-446.9407359103167
12,-336.8240303032777
13,-488.0287976663257
14,-377.0644404218889
15,-461.54781577688686
16,-453.78046953411905
17,-298.0707720217572
18,-326.6851216005569
19,-452.8581280437395
20,-359.25255294575896
21,-349.14276693236167
22,-330.04373840057093
23,-361.8709502614186
24,-428.4208032894569
25,-250.36402970300563
26,-468.834173093855
27,-471.6049470125515
28,-397.9597135111819
29,-352.48794655431976
30,-311.6116518150444
31,-351.50312094194834
32,-320.4147405368421
33,-427.0311987187877
34,-323.81919375212976
35,-344.51997455150575
36,-132.6711493380354
37,-446.24442080699845
38,-291.4453890622094
39,-355.2889774864841
40,-292.91753758354025
41,-387.94626176231344
42,-291.6833140772117
43,-269.9909210599269
44,-248.44211719110288
45,-239.57244853777195
46,-252.4864701188324
47,-179.36309156489946
48,-218.43197112830302
49,-254.6570326408025
50,-300.41743640198905
51,-178.21560555059727
52,-360.3316731793271
53,-299.05436227748606
54,-129.85700431471932
55,-293.8583422477012
56,-250.99521411639083
57,-376.6203642019366
58,-291.64241526479924
59,-272.2366101826033
60,-254.8214891971794
61,-145.67176664407276
62,-220.5846496772646
63,-195.46663258189676
64,-146.06721652980355
65,-147.70598792186112
66,-256.7210129269196
67,-245.54442711795662
68,-246.67066540247416
69,-139.5938263307749
70,-260.378249949132
71,-206.4178878131283
72,-167.44952206374091
73,-171.54179966480046
74,-105.06323137660956
75,-205.14809178013095
76,-201.39041001568472
77,-197.08277018120629
78,-186.50765891242753
79,-234.07452609943616
80,-222.20411716414927
81,-235.19114575594577
82,-185.86174529222495
83,-101.65272431900169
84,-111.91624516726021
85,-202.55061362333547
86,-168.93221716650092
87,-174.36082796692838
88,-215.79268083022836
89,-119.12680292838876
90,-204.86728556424308
91,-172.32219135774207
92,-205.73783857023423
93,-183.15871593463325
94,-93.3301457620691
95,-234.47929619307718
96,-133.66519955342318
97,-200.70435759461333
98,-219.07642043611904
99,-210.53024434080967
100,-212.16828753817322
101,-239.91050060987897
102,-216.10577784648606
103,-175.65320841621954
104,-194.80560226369394
105,-190.43347912672016
106,-157.3423819655963
107,-277.54350417564376
108,-220.96568437745702
109,-190.9410846353183
110,-151.98463318021345
111,-201.66486631465236
112,-262.2546219417205
113,-167.57785432428616
114,-130.61087117685125
115,-215.93349301516324
116,-225.65301070360098
117,-249.31867735156854
118,-222.05647576391704
119,-268.4368925778668
120,-270.4780051752168
121,-185.1162828884362
122,-204.4461276111576
123,-244.7292983375996
124,-173.6646225753871
125,-220.21001785270408
126,-273.2094375845492
127,-189.89616730300725
128,-223.11531129919217
129,-193.0479682517677
130,-222.81955577232125
131,-119.31269342467148
132,-265.29225382990273
133,-261.3214250773764
134,-170.084557925266
135,-201.6446713702496
136,-224.99973990491674
137,-149.72578887415224
138,-228.86508422304007
139,-171.85486571137136
140,-149.18484055993017
141,-215.84664964939404
142,-144.22236985158733
143,-128.65267889239354
144,-248.7090358126519
145,-203.51092537587732
146,-252.5731882314948
147,-133.7043716994788
148,-272.4631961035986
149,-110.77643266171667
150,-147.78918327500864
151,-243.78977137312498
152,-207.30591030211625
153,-228.8996642416963
154,-156.9849877796006
155,-140.9539252038315
156,-206.09016880958882
157,-171.98552701324184
158,-218.63202655713496
159,-195.62511395194494
160,-144.44652331525955
161,-72.50939364947287
162,-160.6553941329654
163,-52.892311309434334
164,-217.8153967172279
165,-189.55100984423606
