Episodes,Average Episode Reward
0,-431.95589396707163
1,-444.0967528724366
2,-449.5178618630566
3,-378.1811615993236
4,-505.3686808550877
5,-249.42786154317864
6,-456.2941805988014
7,-560.9217615634471
8,-454.07978672943307
9,-297.35898193549724
10,-449.3811444497236
11,-428.0240865407109
12,-137.6256914328376
13,-365.95340256960776
14,-270.13849422651657
15,-421.441358896802
16,-371.6497019015695
17,-249.4620185728048
18,-488.81496235401977
19,-522.5386918594274
20,-324.66505847232577
21,-449.95181952260515
22,-136.80432030502772
23,-499.8173241359112
24,-517.6541124759201
25,-467.30406924400165
26,-362.81542350206644
27,-276.49644978234716
28,-375.1459204659949
29,-391.91545380819457
30,-370.1232143063427
31,-382.01108638282847
32,-432.9791658627289
33,-464.2133106227843
34,-478.0808075324462
35,-405.0327436434354
36,-413.3902689763307
37,-462.8150817439324
38,-425.2065274531546
39,-299.9479522389825
40,-438.403820588616
41,-332.18198430380835
42,-396.8534752057634
43,-378.9835368003735
44,-420.9184333658033
45,-352.78710449183905
46,-466.60386041965495
47,-270.43195438236506
48,-404.8137967049281
49,-452.5550043645566
50,-477.20654734462374
51,-390.3096237892064
52,-368.0061119886102
53,-328.47954711540035
54,-583.5857080390217
55,-566.2766626306407
56,-246.1332840850956
57,-242.24960664073217
58,-405.7610124728128
59,-381.28801101824604
60,-302.21989531561235
61,-388.137970469413
62,-301.3889900906254
63,-251.93004476967937
64,-266.8034577699599
65,-370.2323885907434
66,-354.31778385803204
67,-258.03103879301807
68,-355.15655175037176
69,-491.93363295978975
70,-330.568736924491
71,-395.9704626206663
72,-342.79349445095215
73,-254.2565219323333
74,-307.04472023556156
75,-232.26628981932276
76,-273.2198398462225
77,-263.09231253678934
78,-324.3004347411858
79,-201.48753800312437
80,-409.1361079720371
81,-274.14530950577915
82,-324.12908226113086
83,-333.9818266384733
84,-251.66585068278798
85,-261.26862947676915
86,-274.80744061497256
87,-318.6204620556739
88,-343.769945580638
89,-452.2169015336994
90,-314.5784710351784
91,-206.5017136906637
92,-237.52846759209086
93,-273.80973229899985
94,-274.2765971679462
95,-251.03196896407468
96,-286.90030358590127
97,-333.43694410547243
98,-210.20552134943054
99,-535.4866364879917
100,-273.1784039442492
101,-365.5005950439078
102,-402.4386850180816
