Episodes,Average Episode Reward
0,-572.3530317946713
1,-936.7083003217585
2,-614.0371998410802
3,-19.078892879634786
4,-699.9143747980133
5,-633.6864215235744
6,-1116.807223820697
7,-561.1810805925348
8,-428.6683990524161
9,-651.9832677467881
10,-736.097277080039
11,-954.0951827359489
12,-837.938148999263
13,-747.5846883951732
14,-1255.2857622356046
15,-324.67613823323865
16,-1121.2227998664468
17,-511.0314838865777
18,-669.06865892198
19,-677.5704613650676
20,-598.5210480410555
21,-625.0374929997492
22,-467.0118568709472
23,-1355.5480954085206
24,-624.9760565942615
25,-768.9411890571953
26,-886.5266202273956
27,-1016.9103050527361
28,-984.8534022106476
29,-729.7457710685908
30,-637.6109141948963
31,-489.7498816623372
32,-690.8009942878372
33,-945.3026707048095
34,-1085.6054770609483
35,-827.6045768467344
36,-1044.7510832623493
37,-572.2943871559665
38,-808.2945355204541
39,-1130.6340331209792
40,-815.8006577888448
41,-596.1057820602128
42,-661.6338007038136
43,-605.7967486564982
44,-852.2425734907544
45,-685.6143100979175
46,-496.6833425995109
47,-738.8241810037216
48,-988.735090021193
49,-355.3303637053523
50,-695.0829234956637
51,-744.9855091428514
52,-150.0219914617431
53,-920.7656770489647
54,-821.0196710045244
55,-480.534921402592
56,-437.3068901334098
57,-544.377054198589
58,-336.6273500182565
59,-520.8431269258949
60,-540.1101994867804
61,-230.83984530626623
62,-194.52823166227213
63,-143.4656227884631
64,-680.4432583804765
65,-57.737448770480995
66,-586.6014761191126
67,-563.3048516515217
68,-274.759199834242
69,-430.7930718402977
70,-449.93724385465003
71,-519.1410463032083
72,-354.18389169262446
73,-321.63034082145117
74,-443.6029790542792
75,-408.8060937737339
76,-543.3524341742561
77,-241.60837075670682
78,-100.5791158647992
79,-375.0698506095415
80,-333.8689550721991
81,-369.879884877428
82,-447.80304599816446
83,-385.75822569780354
84,-275.39074343823944
85,-388.36253878485707
86,-394.75608410118423
87,-377.1298265198202
88,-512.9758807821834
89,-372.8877275867578
90,-45.57624468059005
91,-252.70581672210525
92,-226.74088389890946
93,-324.18589568925347
94,-328.24335253156323
95,-3.4416363372521985
96,-350.4150306239617
97,-270.88234887537936
98,-407.2754126371244
99,-270.5522530034624
100,-81.52370160780528
101,-324.55771948380885
102,-417.37428260483324
103,-311.7125192360364
104,-198.3507802838475
105,-312.7047387528907
106,-123.64034978501434
107,-430.06975867547504
108,-79.00861396628044
109,-273.76795544629744
110,-428.9316225597921
111,-263.3588754420434
112,-49.29313593823346
113,-354.3364103319042
114,-174.91393149040752
115,-473.1071997613064
116,-191.9187521237466
117,-353.66762947310514
118,-305.84712012368385
119,-269.53742683566355
120,-220.64053296222914
121,-318.501143243848
122,-287.3882958314228
123,-327.4705309515287
124,-442.3725215419657
125,-199.27386540220766
126,-587.1577877077763
127,-278.75877084938907
128,-345.0544049809687
129,-202.65483324136267
130,-460.7093415497353
131,-163.0504163572207
132,-181.950213253359
133,-410.73752744061386
134,-176.73120224459998
135,-262.7897597267951
136,-236.98529665688235
137,-24.68951442011155
138,-29.32674529168493
139,-242.83574786379796
140,-242.79269108473
141,-45.3242888718454
142,-489.67738875674985
143,-513.1111503820518
144,-305.32807571114716
145,-252.4036389723666
146,-230.17994062046841
147,-354.8690662905961
148,-369.85778706753206
149,-300.96041606194905
150,-216.96817211115447
151,-28.738075166382764
152,-347.287651043738
153,-275.75806279790254
154,-66.34349007020576
155,-596.0563065743718
156,-209.33898406273414
157,-95.97559864025851
158,-441.41641994592686
159,-321.0242644199399
160,-498.74623807599266
161,-233.19362782320655
162,-239.89827681389713
163,-373.9883482143057
164,-295.8107406321434
165,-257.99857525163355
166,-207.15100850658814
167,-302.736430471053
168,-275.0664727325302
169,-349.09848147415215
170,-391.4367417498796
171,-163.8246707087937
172,-538.1658951775153
173,-407.8732715195107
174,-256.57786523402353
175,-303.4748832348711
176,-399.2942047725256
177,-314.21061146998636
178,-257.8648767687158
179,-281.1630359547707
180,-280.09362888795056
181,-239.14636682791476
182,-400.8046056477824
183,-53.55073265091774
184,-236.98746562083159
185,-358.8553791629185
186,-235.2969830471221
187,-211.89152653138447
188,-374.0693635237481
189,-436.0770829271672
190,-303.00079364717254
191,-401.2161090038159
192,-284.40465045974986
193,-167.08893997079576
194,-379.0126222947222
195,-54.53461047589366
196,-267.29951547731275
197,-154.28052772874807
198,-496.6830379200611
199,-134.9534086225407
200,-366.3803920367536
201,-286.8297636178254
202,-148.63110082132897
203,-306.06405853737687
204,-397.9453003383679
205,-270.89437137914774
206,-338.6479551755668
207,-259.7507891527455
208,-525.3850751961702
209,-117.30321794767603
210,-101.93445296975455
211,-284.6289542853058
212,-377.4968760087469
213,-82.51291842213342
214,-205.51916413855776
215,-70.53995895513236
216,-377.6958866891078
217,-474.6086574510708
218,-262.7902817911355
219,-412.9878225967697
220,-50.02482329202968
221,-256.2108097316095
222,-367.02379780949116
223,-273.2360534666653
224,-374.0103843028072
225,-210.8766717893163
226,-255.96886505571706
227,-8.715354647629187
228,-370.86736616923537
229,-392.03190961081776
230,-237.14791058184724
231,-187.67915281204705
232,-369.69971231039256
233,-277.4323291504274
234,-313.48426444217273
235,-105.96784875716672
236,-317.7800639755335
237,-501.378199470663
238,-421.87751039181467
239,-313.1178061293207
240,-181.19648581236635
241,-277.9299507364261
242,-207.9377496380611
243,-137.4182628986506
244,-405.7207808031036
245,-194.70522228725542
246,-202.46515068357684
247,-216.60093132430168
248,-276.13663046143085
249,-209.3746011666523
250,-62.255949895676736
251,-440.5823289333032
252,-238.35028426670974
253,-37.32438228860991
254,-477.70957890493804
255,-416.45515794233177
256,-353.8981052358834
257,-400.3080898275209
258,-253.72548899202545
259,-389.50983758578565
260,-120.67735687471293
261,-106.3785960529868
262,-300.03995602551004
263,-306.5704567212877
264,-407.8785796084788
265,-429.57749160927983
266,-291.3844954056652
267,-197.61758516047044
268,-113.70545324938195
269,-275.5629100334209
270,-482.15735073997854
271,-61.19138331753755
272,-374.02043474968593
273,-336.01556717978775
274,-161.8918577793748
275,81.77856053755447
276,-78.67963825204382
277,-67.37085906172089
278,-460.39377092371535
279,-396.2476184658496
280,-123.59348331331769
281,-372.2966041668611
282,-245.65779689787786
283,-226.20599933085074
284,-281.21191264279094
285,-409.2521551786218
286,-159.719639148343
287,-32.16535150132316
288,-128.89723083566844
289,-274.7459926486888
290,-537.8030380984703
291,-534.68102743751
292,-158.4314008308055
293,-34.68759815031833
294,-119.83680819399034
295,-499.31896422933374
296,-273.2621696360717
297,-494.6144648344349
298,-297.3663003671806
299,-506.6155006468627
300,-462.10899917144457
301,-391.5305280208127
302,-488.68758279480966
303,-162.84425862691862
304,-239.550327708472
305,-437.5001293539852
306,-286.47983944570416
307,-492.7823517653747
308,-333.21988812489803
309,-496.85022850556015
310,-323.5977582297497
311,-64.16187472394152
312,-449.97957578733764
313,-189.1916294943202
314,-153.49928139393953
315,-556.1205251238075
316,-356.874033798126
317,-185.82098940394096
318,-130.95153635991878
319,-165.47407012476017
320,-0.09928762218624117
321,-277.8884061881588
322,-166.39065476168014
323,-152.2868492688595
324,-132.07224297266998
325,-350.0284170559484
326,-332.00048046814703
327,-403.90801820845775
328,-225.73857766585616
329,-402.5823919906967
330,-272.48689960519533
331,-240.2680650508336
332,-156.4282164787539
333,-438.08588319179097
334,-235.58030294141594
335,-257.0233920762737
336,-138.953640025617
337,-380.97716824317615
338,-411.61687839928135
339,-283.0142659994152
340,-370.1309679641427
341,-275.23545205826713
342,-51.47464079546208
343,-360.33630828926306
344,-338.6888194261549
345,-307.5483327006827
346,-349.10234952340915
347,-408.10771187087016
348,-120.34283888354217
349,-218.96466159774184
350,-253.29283652036364
351,-415.2693512241181
352,-160.31217237161079
353,-378.3329949498356
354,-139.90436497065596
355,-94.91264333027182
356,-295.3060804000177
357,-406.82755875093375
358,-405.17637989652087
359,-374.1018137238647
360,-447.8687124056278
361,-378.89430477993824
362,-313.2873035671147
363,-359.25616605811166
364,-387.21764874098733
365,-486.61565004957146
366,-385.5602722246267
367,-163.13615018227523
368,-359.42996787289206
369,-158.33213673382807
370,-253.04811438657075
371,-282.4628475860205
372,-325.9058211737298
373,-489.53092003585243
374,-444.8232872299051
375,-171.2661991769492
376,-365.67841265533673
377,-195.05641556027098
378,-137.80915789970643
379,-329.29729922859997
380,-530.3418894799688
381,-168.84730912619182
