Episodes,Average Episode Reward
0,-1119.119459392252
1,-671.6822967698272
2,-735.289544103688
3,-551.2406502960702
4,-641.3642736396772
5,-866.4626152833537
6,-879.2654468742545
7,-965.8435596510682
8,-431.7704737968266
9,-879.9851896963443
10,-617.821129324666
11,-748.0388235267615
12,-530.8552841818607
13,-234.35393024740503
14,-728.19564577385
15,-674.8872795435752
16,-591.2561385294227
17,-740.9266340553468
18,-338.95836664411763
19,-923.1727126848481
20,-513.6044464250056
21,-743.3961530547111
22,-682.0865746131415
23,-666.9895355293046
24,-522.4567466395454
25,-537.8675429831787
26,-379.79979620075125
27,-164.05592520651143
28,-615.863765840538
29,-406.76475992129406
30,-479.3634219313063
31,-395.04147128070065
32,-616.4659367204615
33,-311.46694567444155
34,-455.7807286066498
35,-335.94586504415906
36,-461.6765489875438
37,-407.67761612592113
38,-395.07286234576725
39,-240.7316872355035
40,-152.23233927124838
41,-408.5194158017052
42,-341.26462453711804
43,-315.6501256044197
44,-494.39397370123476
45,-287.5192685447551
46,-521.9650088512374
47,-579.3166436078578
48,-5.284242653152501
49,-213.79588690020555
50,-376.13629491817596
51,-348.20512830721236
52,-334.7447334091399
53,-443.6380013501429
54,-261.5123231821461
55,-281.52857806087997
56,-258.4445001082021
57,-470.3916280986556
58,-284.24705045051934
59,-279.4849740222692
60,-553.3218145655047
61,-109.24822273141542
62,-464.07041191326573
63,-253.30325224963852
64,-402.077671486763
65,-471.48778495527165
66,-480.0263285125551
67,-406.7100802954432
68,-447.6069981650278
69,-275.312998200388
70,-266.6461627714375
71,-68.66287592258408
72,-525.6919501069265
73,-637.206184235396
74,-153.5741268979697
75,-269.84657093596934
76,-275.7698967259479
77,-451.4922275171328
78,-419.67124445529436
79,-185.0483368365163
80,-466.33101723462744
81,-631.344557318185
82,-186.5028888556046
83,-13.539246937384577
84,-377.52677622186764
85,-351.82246639993315
86,-438.73552600674736
87,-318.04188629185234
88,-391.8863655545397
89,-266.1308924141299
90,-257.1673372063956
91,-328.715980483182
92,-338.86694585380536
93,-411.17152759234216
94,-696.5971388824086
95,-235.18826559233835
96,-438.54646346036134
97,-415.5218055574207
98,-361.4850138094985
99,-468.425555069703
100,-364.2693959226965
101,-310.63404032011033
102,-556.3173490927909
103,-569.0855221503596
104,-385.6180238278527
105,-568.2501270901982
106,-519.8266354896815
107,-16.73352277130194
108,-344.65995751509837
109,-465.5381583464358
110,-131.97684777543463
111,-443.6030637453365
112,-342.2238204344205
113,-309.559481085482
114,-255.64780121840204
115,-451.11789081035994
116,-398.02111115351414
117,-494.53693593996337
118,-470.2926540217312
119,-409.9232831809922
120,-171.90824614043734
121,-242.71495397936957
122,-186.23557120485273
123,-78.78773028539642
124,-243.49099073191658
125,-325.70386874151006
126,-38.00619446519204
127,-445.55152137921954
128,-31.567416608688845
129,-274.5122946039191
130,-304.92779189399454
131,-505.68730909284966
132,-239.62128724200957
133,-427.24582524206073
134,-228.43887027178673
135,-412.1321679593862
136,-419.9796210551558
137,-338.03405877487626
138,-481.4564656195621
139,-406.75601348976176
140,-398.79011630844815
141,-299.30197354982766
142,-77.9087105420688
143,-420.27423892849254
144,-407.386898891085
145,-444.7639840612622
146,-469.93117699541074
147,-340.92603492274213
148,-315.71194898607797
149,-331.94989111854306
150,-375.83157640590906
151,-23.77396586742798
152,-438.7028132090409
153,-19.514924763381522
154,-471.91515030400797
155,-531.3211087360007
156,-177.40869041374128
157,-333.75780498185486
158,-329.2115314328891
159,-280.595942030158
160,-254.73092251189038
161,-411.1846890817712
162,-307.69381429429257
163,-428.40024337898
164,-595.7024798012299
165,-148.46286144079014
166,-255.90027443408025
167,-261.79637735605115
168,-424.996632854428
169,-310.3746097476108
170,-355.6409357213099
171,-391.24396992563294
172,-178.13408915285112
173,-483.6609761990878
174,-384.2128874865219
175,-85.69036219234921
176,-101.09469930727255
177,-212.76014801713671
178,-198.33319550748323
179,-470.9089227450638
180,-416.52525024858096
181,-393.75846854567453
182,-498.9742255212425
183,-296.79157986885616
184,-504.13032653389615
185,-233.3302482147036
186,-289.24633223481504
187,-193.68830503315291
188,-122.84259828174476
189,-157.0295927772453
190,-538.930915919486
191,-409.7740875505456
192,-424.0732307705684
193,-206.25321564649565
194,-172.11194009414908
195,-134.61903987935383
196,-458.07136062107935
197,-409.4982020389204
198,-335.6789753285833
199,-227.65853120593002
200,-459.7621554621377
201,-243.55484683324556
202,-270.79465693776115
203,-423.21584864301644
204,-186.08063403677446
205,-179.28878102177075
206,-316.89517127716425
207,-336.89253003454644
208,-472.3942834717767
209,-176.66664393223814
210,-307.46837951869907
211,-172.85127761210998
212,-231.60398602379115
213,-474.97079383409846
214,-149.11075205711967
215,-211.78262786508466
216,-292.57105059627304
217,-171.1926758127445
218,-427.31793754531947
219,-608.3113218169457
220,-492.58986181644724
221,-216.98740620447205
222,-375.73600438019827
223,-71.78529839905877
224,-197.2537627400303
225,-161.08348448520758
226,-417.92671182333163
227,-237.54604910152906
228,-286.2566085123896
229,-140.36308020965288
230,-230.03159261373344
231,-409.4447524758625
232,-343.50480445278953
233,-344.41496972067927
234,-385.2553218919677
235,-443.6139541120235
236,-306.9174338556475
237,-330.60778824784586
238,-426.80728137814526
239,-101.00635121793846
240,-328.93125089599187
241,-292.68199854971493
242,-221.13359415611927
243,-736.2900305303596
244,-167.22445701060724
245,-329.45038201864503
246,-240.73979663618618
247,-339.29013905070696
248,-253.1014089397555
249,-393.36366377032266
250,-68.00493684641299
251,-585.2787732038755
252,-88.20178129175683
253,-457.0676561121468
254,-443.0477106180884
255,-404.6712968533912
256,-380.68275762353034
257,-364.2583014525737
258,-302.14837929183165
259,-450.2886988279408
260,-398.13965001348697
261,-243.02127408574145
262,-332.60739722292743
263,-181.41371001484262
264,-477.86255897478384
265,-108.06622646756864
266,-467.8575064180055
267,-403.4954122795416
268,-344.73438034050173
269,-188.59077220900656
270,-285.8645913539762
271,-273.22498545457967
272,-172.12333869349533
273,-338.345083025762
274,-578.9859563249954
275,-214.53400699659915
276,-476.08138806880265
277,-345.0273469209098
278,-337.2868105256585
279,-355.28369099184084
280,-386.3490917614467
281,-232.96250684978662
282,-583.5441941797741
283,-363.0933475730473
284,-250.9955380899001
285,-473.23678358900827
286,-359.25341770223986
287,-404.3966472874023
288,-466.0194415017151
289,-423.932954664849
290,-243.17004566492864
291,-361.0803619232577
292,-302.8964290594899
293,-424.47077082707176
294,-129.43434169625831
295,-101.7997429383976
296,-68.76612538147171
297,-70.53281609175136
298,-607.3227659265971
299,-469.66699111455586
300,-158.66443987904273
301,-321.4116919586839
302,-293.4275060602202
303,-119.50186654590914
304,-387.7109793542008
305,-200.7472178021222
306,-170.07047616360114
307,-302.4478115887909
308,-386.81247619619245
309,-266.82052958039566
310,-744.9749770470534
311,-472.1584368853057
312,-180.99437529625118
313,-188.67061571030132
314,-359.94192873005824
315,-50.68299203627874
316,-101.2809684336884
317,-146.40338762722564
318,-294.55509473407704
319,-514.7276047722222
320,-343.6054435696832
321,-356.0235780689425
322,-512.9124005763798
323,-415.0928366895754
324,-231.6938943196181
325,-246.36139055414642
326,-393.2363949246156
327,-329.35535965898634
328,-480.97661030277885
329,-363.4181801735596
